partnerId,locationId,listingId,override,PL Status
516,9073306,121161558,Antimatch,NoPowerListing
523,9073306,166274438,Match,Sync
523,9073306,121397241,Antimatch,NoPowerListing
523,9073306,121397242,Antimatch,NoPowerListing
524,9073306,121380640,Antimatch,NoPowerListing
532,9073306,122035098,Antimatch,NoPowerListing
543,9073306,121967561,Antimatch,NoPowerListing
545,9073306,121372629,Antimatch,NoPowerListing
545,9073306,121372630,Antimatch,NoPowerListing
547,9073306,121968850,Antimatch,NoPowerListing
547,9073306,121999259,Antimatch,NoPowerListing
550,9073306,121099748,Antimatch,NoPowerListing
550,9073306,121146939,Antimatch,NoPowerListing
550,9073306,121099749,Antimatch,NoPowerListing
551,9073306,121968855,Antimatch,NoPowerListing
551,9073306,121080253,Antimatch,NoPowerListing
553,9073306,138598069,Antimatch,NoPowerListing
553,9073306,121263293,Antimatch,NoPowerListing
553,9073306,121263291,Antimatch,NoPowerListing
553,9073306,121263292,Antimatch,NoPowerListing
562,9073306,121083137,Antimatch,NoPowerListing
562,9073306,121083140,Antimatch,NoPowerListing
563,9073306,121101016,Antimatch,NoPowerListing
563,9073306,121101015,Antimatch,NoPowerListing
576,9073306,121105663,Antimatch,NoPowerListing
578,9073306,121083544,Antimatch,NoPowerListing
578,9073306,121133425,Antimatch,NoPowerListing
579,9073306,121083407,Antimatch,NoPowerListing
583,9073306,121083484,Antimatch,NoPowerListing
590,9073306,121967305,Antimatch,NoPowerListing
595,9073306,122018179,Antimatch,NoPowerListing
638,9073306,122033426,Antimatch,NoPowerListing
638,9073306,121105775,Antimatch,NoPowerListing
638,9073306,122036877,Antimatch,NoPowerListing
644,9073306,121967946,Antimatch,NoPowerListing
644,9073306,121082865,Antimatch,NoPowerListing
645,9073306,121967984,Antimatch,NoPowerListing
656,9073306,121083206,Antimatch,NoPowerListing
656,9073306,121998879,Antimatch,NoPowerListing
661,9073306,121082652,Antimatch,NoPowerListing
661,9073306,162011525,Antimatch,NoPowerListing
662,9073306,121382028,Antimatch,NoPowerListing
662,9073306,121382031,Antimatch,NoPowerListing
665,9073306,129046777,Antimatch,NoPowerListing
690,9073306,121083835,Antimatch,NoPowerListing
692,9073306,121083703,Antimatch,NoPowerListing
697,9073306,121969405,Antimatch,NoPowerListing
697,9073306,122001697,Antimatch,NoPowerListing
716,9073306,121967624,Antimatch,NoPowerListing
720,9073306,121082785,Antimatch,NoPowerListing
732,9073306,121082247,Antimatch,NoPowerListing
732,9073306,121082251,Antimatch,NoPowerListing
733,9073306,121968946,Antimatch,NoPowerListing
761,9073306,121081672,Antimatch,NoPowerListing
767,9073306,144023762,Antimatch,NoPowerListing
768,9073306,142905556,Antimatch,NoPowerListing
768,9073306,162252605,Antimatch,NoPowerListing
392,9073307,121383661,Antimatch,NoPowerListing
398,9073307,121171610,Antimatch,NoPowerListing
398,9073307,121171612,Antimatch,NoPowerListing
402,9073307,162276303,Antimatch,NoPowerListing
433,9073307,121268648,Antimatch,NoPowerListing
433,9073307,162260439,Antimatch,NoPowerListing
433,9073307,121268650,Antimatch,NoPowerListing
439,9073307,121063962,Antimatch,NoPowerListing
440,9073307,121162667,Match,Sync
462,9073307,121042138,Antimatch,NoPowerListing
462,9073307,166271419,Antimatch,NoPowerListing
469,9073307,121958679,Antimatch,NoPowerListing
469,9073307,121141514,Antimatch,NoPowerListing
483,9073307,121070679,Antimatch,NoPowerListing
483,9073307,166271413,Antimatch,NoPowerListing
483,9073307,166271414,Antimatch,NoPowerListing
483,9073307,166271415,Antimatch,NoPowerListing
499,9073307,121392582,Antimatch,NoPowerListing
505,9073307,121426394,Antimatch,NoPowerListing
505,9073307,166277218,Antimatch,NoPowerListing
505,9073307,121426395,Antimatch,NoPowerListing
505,9073307,121426397,Antimatch,NoPowerListing
516,9073307,122013923,Antimatch,NoPowerListing
523,9073307,166274440,Match,Sync
523,9073307,121393298,Antimatch,NoPowerListing
524,9073307,121373405,Antimatch,NoPowerListing
532,9073307,122033706,Antimatch,NoPowerListing
543,9073307,121958792,Antimatch,NoPowerListing
545,9073307,121334590,Antimatch,NoPowerListing
545,9073307,121334591,Antimatch,NoPowerListing
547,9073307,121958857,Antimatch,NoPowerListing
547,9073307,121385665,Antimatch,NoPowerListing
550,9073307,121086389,Antimatch,NoPowerListing
550,9073307,166272056,Antimatch,NoPowerListing
550,9073307,121086390,Antimatch,NoPowerListing
551,9073307,121959858,Antimatch,NoPowerListing
551,9073307,121071323,Antimatch,NoPowerListing
553,9073307,121261927,Antimatch,NoPowerListing
553,9073307,162250991,Antimatch,NoPowerListing
553,9073307,121261929,Antimatch,NoPowerListing
553,9073307,121261931,Antimatch,NoPowerListing
562,9073307,121073456,Antimatch,NoPowerListing
562,9073307,129051804,Antimatch,NoPowerListing
563,9073307,121087588,Antimatch,NoPowerListing
563,9073307,129119137,Antimatch,NoPowerListing
576,9073307,121958691,Antimatch,NoPowerListing
578,9073307,121073752,Antimatch,NoPowerListing
579,9073307,121073778,Antimatch,NoPowerListing
580,9073307,121977262,Antimatch,NoPowerListing
583,9073307,121073714,Antimatch,NoPowerListing
590,9073307,121958667,Antimatch,NoPowerListing
595,9073307,122016968,Antimatch,NoPowerListing
638,9073307,122032947,Antimatch,NoPowerListing
644,9073307,121959058,Antimatch,NoPowerListing
644,9073307,121073193,Antimatch,NoPowerListing
645,9073307,121960150,Antimatch,NoPowerListing
656,9073307,121073527,Antimatch,NoPowerListing
661,9073307,121073203,Antimatch,NoPowerListing
662,9073307,121373482,Antimatch,NoPowerListing
662,9073307,162954675,Antimatch,NoPowerListing
662,9073307,162954674,Antimatch,NoPowerListing
665,9073307,129045698,Antimatch,NoPowerListing
690,9073307,121074236,Antimatch,NoPowerListing
692,9073307,122398351,Antimatch,NoPowerListing
697,9073307,121093393,Antimatch,NoPowerListing
716,9073307,121959363,Antimatch,NoPowerListing
720,9073307,121072926,Antimatch,NoPowerListing
732,9073307,121072678,Antimatch,NoPowerListing
732,9073307,121072680,Antimatch,NoPowerListing
733,9073307,121959264,Antimatch,NoPowerListing
761,9073307,121072470,Antimatch,NoPowerListing
767,9073307,144023000,Antimatch,NoPowerListing
